Label,Score,Status,x,y,r,x0,y0,r0,weight,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
BERT-BASE,0.40520248,Correct,983.8483903,326.0361536,3.484294256,1000,321.1906608,4.43121488,0,983.841796,326.062186,66,1,1,1,3,2,2,1
BERT-LARGE,0.40520248,Correct,779.1554114,327.4452571,3.484294256,800,321.1906608,4.43121488,0,779.1998669,327.4247163,66,1,1,1,3,2,2,1
GLOVE-CNN,0.40520248,Correct,178.0904961,325.9930337,3.484294256,200,321.1906608,4.43121488,0,178.0553111,325.9439115,66,1,1,1,3,2,2,1
GLOVE-LSTM,0.40520248,Correct,375.353465,319.0491603,3.484294256,400,321.1906608,4.43121488,0,375.3871611,319.0635552,66,1,1,1,3,2,2,1
ROBERTA-LARGE,0.40520248,Incorrect,572.0819689,323.0075815,3.484294256,600,321.1906608,4.43121488,0,572.0746427,323.0013679,66,1,1,1,3,2,2,1
BERT-BASE,0.406849718,Correct,991.932341,331.8721303,3.490328241,1000,320.3011523,4.441098308,0,991.9342635,331.8889645,53,1,1,1,3,2,2,1
BERT-LARGE,0.406849718,Correct,819.4418869,332.7209498,3.490328241,800,320.3011523,4.441098308,0,819.4894114,332.749547,53,1,1,1,3,2,2,1
GLOVE-CNN,0.406849718,Correct,208.0218269,329.18166,3.490328241,200,320.3011523,4.441098308,0,207.9953823,329.2449521,53,1,1,1,4,2,2,1
GLOVE-LSTM,0.406849718,Correct,393.2125169,319.6088232,3.490328241,400,320.3011523,4.441098308,0,393.2175197,319.6161022,53,1,1,1,4,2,2,1
ROBERTA-LARGE,0.406849718,Correct,597.5713616,328.800119,3.490328241,600,320.3011523,4.441098308,0,597.5725626,328.7869745,53,1,1,1,4,2,2,1
BERT-BASE,0.406963431,Correct,1030.957428,330.3330695,3.490744782,1000,320.2397473,4.441780586,0,1030.954193,330.3411833,67,1,1,1,4,2,2,1
BERT-LARGE,0.406963431,Correct,798.457328,333.5682496,3.490744782,800,320.2397473,4.441780586,0,798.4398802,333.5680023,67,1,1,1,4,2,2,1
GLOVE-CNN,0.406963431,Correct,188.2322908,326.2748045,3.490744782,200,320.2397473,4.441780586,0,188.2586462,326.2327518,67,1,1,1,4,2,2,1
GLOVE-LSTM,0.406963431,Correct,423.2213955,327.9400663,3.490744782,400,320.2397473,4.441780586,0,423.2331072,327.8651365,67,1,1,1,4,2,2,1
