id,Label,Score,Status
120,BERT-LARGE,0.443607716,Correct
121,BERT-LARGE,0.489673899,Correct
122,BERT-LARGE,0.525983324,Incorrect
123,BERT-LARGE,0.506743496,Correct
124,BERT-LARGE,0.387874668,Correct
125,BERT-LARGE,0.532752077,Correct
126,BERT-LARGE,0.52279036,Correct
127,BERT-LARGE,0.555542351,Incorrect
128,BERT-LARGE,0.582686188,Correct
129,BERT-LARGE,0.500145541,Correct
130,BERT-LARGE,0.480250564,Correct
131,BERT-LARGE,0.481361041,Correct
132,BERT-LARGE,0.476625661,Correct
133,BERT-LARGE,0.554079646,Correct
134,BERT-LARGE,0.623656242,Correct
135,BERT-LARGE,0.498666117,Correct
136,BERT-LARGE,0.570623016,Correct
137,BERT-LARGE,0.473672521,Incorrect
138,BERT-LARGE,0.41619568,Correct
139,BERT-LARGE,0.642839038,Correct
140,BERT-LARGE,0.477061527,Incorrect
141,BERT-LARGE,0.507804071,Correct
142,BERT-LARGE,0.584668069,Correct
143,BERT-LARGE,0.534940027,Incorrect
144,BERT-LARGE,0.601477174,Correct
145,BERT-LARGE,0.450054336,Correct
146,BERT-LARGE,0.585236359,Correct
147,BERT-LARGE,0.539572979,Correct
148,BERT-LARGE,0.470315843,Correct
149,BERT-LARGE,0.438856097,Correct
150,BERT-LARGE,0.519719435,Correct
1,ROBERTA-LARGE,0.433368153,Correct
2,ROBERTA-LARGE,0.36983425,Incorrect
3,ROBERTA-LARGE,0.473970798,Correct
4,ROBERTA-LARGE,0.520892057,Correct
5,ROBERTA-LARGE,0.278455003,Incorrect
6,ROBERTA-LARGE,0.514732104,Correct
7,ROBERTA-LARGE,0.564790087,Correct
8,ROBERTA-LARGE,0.495102538,Incorrect
9,ROBERTA-LARGE,0.4919791,Correct
10,ROBERTA-LARGE,0.603594112,Correct
11,ROBERTA-LARGE,0.481256986,Correct
12,ROBERTA-LARGE,0.551371748,Correct
13,ROBERTA-LARGE,0.487144508,Correct
14,ROBERTA-LARGE,0.537611721,Correct
15,ROBERTA-LARGE,0.514205457,Correct
16,ROBERTA-LARGE,0.420908602,Correct
17,ROBERTA-LARGE,0.405177684,Correct
18,ROBERTA-LARGE,0.48990343,Correct
19,ROBERTA-LARGE,0.418283686,Correct
20,ROBERTA-LARGE,0.494959402,Correct
21,ROBERTA-LARGE,0.49461647,Incorrect
22,ROBERTA-LARGE,0.702394895,Incorrect
23,ROBERTA-LARGE,0.488486995,Incorrect
24,ROBERTA-LARGE,0.402960714,Correct
25,ROBERTA-LARGE,0.576373407,Correct
26,ROBERTA-LARGE,0.462120359,Correct
27,ROBERTA-LARGE,0.491809236,Correct
28,ROBERTA-LARGE,0.465216837,Correct
29,ROBERTA-LARGE,0.497650208,Correct
30,ROBERTA-LARGE,0.389694985,Correct
31,ROBERTA-LARGE,0.644663102,Correct
32,ROBERTA-LARGE,0.472388378,Correct
33,ROBERTA-LARGE,0.494058401,Correct
34,ROBERTA-LARGE,0.549963848,Correct
35,ROBERTA-LARGE,0.473538574,Correct
36,ROBERTA-LARGE,0.437609528,Correct
37,ROBERTA-LARGE,0.453492231,Correct
38,ROBERTA-LARGE,0.564766888,Correct
39,ROBERTA-LARGE,0.404604068,Correct
40,ROBERTA-LARGE,0.529065654,Correct
41,ROBERTA-LARGE,0.40270235,Correct
42,ROBERTA-LARGE,0.418505655,Correct
43,ROBERTA-LARGE,0.497296037,Correct
44,ROBERTA-LARGE,0.423266564,Correct
45,ROBERTA-LARGE,0.500851033,Correct
46,ROBERTA-LARGE,0.483533578,Correct
47,ROBERTA-LARGE,0.489462884,Correct
48,ROBERTA-LARGE,0.385194193,Correct
49,ROBERTA-LARGE,0.511140042,Correct
