Label,Score,Status,x,y,r,x0,y0,r0,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
BERT-BASE,0.82237178,Correct,995.7298701,148.9817692,5.012424083,1000,148.0235167,6.93423068,995.7308367,148.9772028,98,1,1,1,4,3,2,1
GLOVE-LSTM,0.82398927,Incorrect,407.518881,149.4805061,5.018349098,400,146.6756083,6.94393562,407.5192903,149.4793767,146,1,1,1,4,3,2,1
GLOVE-LSTM,0.82567346,Correct,369.9936901,144.7769502,5.024518443,400,145.2721167,6.95404076,370.0010651,144.7765921,127,1,1,1,4,3,2,1
GLOVE-LSTM,0.82659245,Correct,395.4892643,144.4314278,5.027884788,400,144.5062917,6.9595547,395.4920655,144.4296276,8,1,1,1,4,3,2,1
GLOVE-LSTM,0.83011317,Correct,431.356659,140.0035629,5.040781512,400,141.5723583,6.98067902,431.3511494,140.0016027,92,1,1,1,4,3,2,2
GLOVE-LSTM,0.83270758,Correct,409.4279625,136.5531264,5.050285076,400,139.41035,6.99624548,409.4259711,136.5535044,50,1,1,1,4,3,2,2
BERT-BASE,0.83300602,Correct,986.9804425,139.2797092,5.05137829,1000,139.16165,6.99803612,986.9778411,139.281046,105,1,1,1,4,3,2,2
GLOVE-LSTM,0.8376801,Correct,386.5999656,134.8150673,5.068499878,400,135.2665833,7.0260806,386.6021775,134.8165016,30,1,1,1,4,3,2,2
BERT-BASE,0.83776838,Correct,999.8153485,136.5586639,5.068823256,1000,135.1930167,7.02661028,999.8092456,136.5535,82,1,1,1,4,3,2,2
BERT-BASE,0.84014082,Correct,1012.446209,132.914432,5.077513724,1000,133.2159833,7.04084492,1012.439797,132.9151754,94,1,1,1,4,3,2,2
GLOVE-LSTM,0.84516692,Incorrect,398.5153929,129.2216051,5.095924794,400,129.0275667,7.07100152,398.5151877,129.2229458,88,1,1,1,4,3,2,2
GLOVE-LSTM,0.84677202,Correct,376.3766932,126.5118312,5.101804424,400,127.6899833,7.08063212,376.3827867,126.5116112,25,1,1,1,4,3,2,2
ROBERTA-LARGE,0.85078543,Incorrect,589.5996693,124.8421122,5.116505917,600,124.345475,7.10471258,589.603049,124.8422429,82,1,1,1,4,4,2,2
GLOVE-LSTM,0.85079223,Correct,423.5837309,124.42348,5.116530826,400,124.3398083,7.10475338,423.5800846,124.4230133,115,2,1,1,4,4,2,2
GLOVE-LSTM,0.85133195,Incorrect,410.3882051,123.4202027,5.118507871,400,123.8900417,7.1079917,410.3862547,123.4225082,15,2,1,1,4,4,2,2
ROBERTA-LARGE,0.85618639,Incorrect,614.410198,119.9488403,5.136290134,600,119.844675,7.13711834,614.4090973,119.9488689,8,1,1,1,4,4,2,2
ROBERTA-LARGE,0.85712749,Incorrect,601.218265,118.4596187,5.139737471,600,119.060425,7.14276494,601.2192056,118.4594594,122,2,1,1,4,4,2,2
GLOVE-LSTM,0.85876536,Correct,386.1923566,117.6158938,5.145737141,400,117.6955333,7.15259216,386.1931316,117.6127006,100,2,1,1,4,4,2,2
GLOVE-LSTM,0.8596366,Incorrect,399.3872265,116.003779,5.148928574,400,116.9695,7.1578196,399.3869427,116.0071932,125,2,1,1,4,4,2,2
BERT-BASE,0.85998273,Correct,995.2118404,124.1671266,5.15019648,1000,116.6810583,7.15989638,995.2189829,124.1591681,109,2,1,1,4,4,2,2
GLOVE-CNN,0.86148912,Correct,198.6319508,115.4464585,5.155714526,200,115.4257333,7.16893472,198.6287155,115.4430742,29,2,1,1,4,4,3,2
